red3_epa,red2_epa,red1_epa,blue3_epa,blue2_epa,blue1_epa,red3_total_points,red2_total_points,red1_total_points,blue3_total_points,blue2_total_points,blue1_total_points,red3_auto_points,red2_auto_points,red1_auto_points,blue3_auto_points,blue2_auto_points,blue1_auto_points,red3_teleop_points,red2_teleop_points,red1_teleop_points,blue3_teleop_points,blue2_teleop_points,blue1_teleop_points,red3_endgame_points,red2_endgame_points,red1_endgame_points,blue3_endgame_points,blue2_endgame_points,blue1_endgame_points,red3_rank,red2_rank,red1_rank,blue3_rank,blue2_rank,blue1_rank,red3_winrate,red2_winrate,red1_winrate,blue3_winrate,blue2_winrate,blue1_winrate,blue_score,red_score
1572,1475,1450,1572,1475,1450,31.53,18.32,15.41,31.53,18.32,15.41,4.13,2.43,3.11,4.13,2.43,3.11,25.89,13.93,10.0,25.89,13.93,10.0,1.52,1.96,2.3,1.52,1.96,2.3,719,2084,2662,719,2084,2662,0.5556,0.5833,0.5455,0.5556,0.5833,0.5455,72,63
1610,1555,1568,1610,1555,1568,37.17,29.16,31.07,37.17,29.16,31.07,4.67,3.61,5.63,4.67,3.61,5.63,31.13,25.61,17.97,31.13,25.61,17.97,1.37,-0.05,7.47,1.37,-0.05,7.47,462,865,750,462,865,750,0.6613,0.4853,0.5781,0.6613,0.4853,0.5781,90,126
1610,1555,1568,1610,1555,1568,37.17,29.16,31.07,37.17,29.16,31.07,4.67,3.61,5.63,4.67,3.61,5.63,31.13,25.61,17.97,31.13,25.61,17.97,1.37,-0.05,7.47,1.37,-0.05,7.47,462,865,750,462,865,750,0.6613,0.4853,0.5781,0.6613,0.4853,0.5781,92,149
1700,1494,1475,1700,1494,1475,51.02,20.68,18.32,51.02,20.68,18.32,11.88,2.74,2.43,11.88,2.74,2.43,29.92,12.43,13.93,29.92,12.43,13.93,9.21,5.51,1.96,9.21,5.51,1.96,154,1737,2084,154,1737,2084,0.8387,0.6,0.5833,0.8387,0.6,0.5833,111,46
1401,1410,1347,1401,1410,1347,10.16,11.09,4.66,10.16,11.09,4.66,1.75,1.92,3.08,1.75,1.92,3.08,7.65,6.86,0.16,7.65,6.86,0.16,0.75,2.3,1.43,0.75,2.3,1.43,3367,3256,3665,3367,3256,3665,0.2,0.5,0.1,0.2,0.5,0.1,23,44
1495,1471,1513,1495,1471,1513,20.87,17.86,23.24,20.87,17.86,23.24,4.22,3.36,2.66,4.22,3.36,2.66,14.88,13.58,19.52,14.88,13.58,19.52,1.77,0.91,1.06,1.77,0.91,1.06,1714,2273,1418,1714,2273,1418,0.6429,0.3864,0.4286,0.6429,0.3864,0.4286,39,49
1528,1449,1610,1528,1449,1610,25.31,15.34,37.17,25.31,15.34,37.17,3.78,3.3,4.67,3.78,3.3,4.67,20.39,11.08,31.13,20.39,11.08,31.13,1.13,0.96,1.37,1.13,0.96,1.37,1205,2669,462,1205,2669,462,0.5577,0.4,0.6613,0.5577,0.4,0.6613,98,75
1537,1391,1467,1537,1391,1467,26.48,9.05,17.42,26.48,9.05,17.42,4.81,2.6,3.5,4.81,2.6,3.5,20.05,5.94,11.19,20.05,5.94,11.19,1.62,0.5,2.74,1.62,0.5,2.74,1090,3452,2353,1090,3452,2353,0.463,0.2,0.6154,0.463,0.2,0.6154,54,18
1580,1371,1517,1580,1371,1517,32.77,7.03,23.72,32.77,7.03,23.72,4.68,4.81,3.71,4.68,4.81,3.71,26.99,3.41,19.04,26.99,3.41,19.04,1.1,-1.18,0.97,1.1,-1.18,0.97,645,3573,1358,645,3573,1358,0.5,0.3333,0.4138,0.5,0.3333,0.4138,73,54
1401,1384,1369,1401,1384,1369,10.16,8.39,6.85,10.16,8.39,6.85,1.75,0.8,2.28,1.75,0.8,2.28,7.65,7.09,3.41,7.65,7.09,3.41,0.75,0.5,1.16,0.75,0.5,1.16,3367,3506,3584,3367,3506,3584,0.2,0.2,0.5455,0.2,0.2,0.5455,12,59
